doc_id,start_pos,end_pos,surface,type,identifier,score
https://digitalzibaldone.net/node/p1012_2,243,249,Andrès,PER,Q50005,-1.2617744207382202
https://digitalzibaldone.net/node/p1012_2,276,280,Roma,LOC,Q18287233,-0.19231301546096802
https://digitalzibaldone.net/node/p1012_2,540,546,Andrès,PER,Q2066272,-1.476945161819458
https://digitalzibaldone.net/node/p1023_2,52,64,impero greco,LOC,Q11772,-0.33708128333091736
https://digitalzibaldone.net/node/p1023_2,425,431,Andrès,PER,Q50005,-1.4931774139404297
https://digitalzibaldone.net/node/p1037_1,40,50,᾽Eπιτάϕιος,WORK,Q80247,-0.4564465880393982
https://digitalzibaldone.net/node/p1040_1,280,286,Grecia,LOC,Q41,-0.1395287662744522
https://digitalzibaldone.net/node/p1042_2,432,436,Roma,LOC,Q220,-0.15866431593894958
https://digitalzibaldone.net/node/p1042_2,622,626,Roma,LOC,Q220,-0.12088924646377563
https://digitalzibaldone.net/node/p1042_2,632,638,italia,LOC,Q652,-0.29856202006340027
https://digitalzibaldone.net/node/p1045_2,804,810,Andrès,PER,Q1506867,-0.984982967376709
https://digitalzibaldone.net/node/p1048_2,902,913,Castelvetro,PER,Q100045,-0.5283911228179932
https://digitalzibaldone.net/node/p1054_2,330,340,Forcellini,WORK,Q1436657,-0.5729348063468933
https://digitalzibaldone.net/node/p1054_2,347,387,Saggio sugli Errori popol. degli antichi,WORK,Q468939,-1.2600136995315552
https://digitalzibaldone.net/node/p1055_2,128,133,Soave,PER,Q47876,-0.697548508644104
https://digitalzibaldone.net/node/p1055_2,170,179,Compendio,WORK,Q776754,-0.20696373283863068
https://digitalzibaldone.net/node/p1065_3,544,575,Scelta di Opuscoli interessanti,WORK,Q5173771,-0.8394970893859863
https://digitalzibaldone.net/node/p1104_1,502,513,Franciosini,PER,Q163900,-0.7986588478088379
https://digitalzibaldone.net/node/p1104_1,650,659,la Crusca,WORK,Q1067,-0.5355018973350525
https://digitalzibaldone.net/node/p1105_1,234,248,il Forcellini.,WORK,Q853122,-1.2155848741531372
https://digitalzibaldone.net/node/p1105_3,260,264,Aen.,WORK,Q1398,-0.35004550218582153
https://digitalzibaldone.net/node/p1105_3,313,327,lido Siciliano,LOC,Q207104,-0.4665248692035675
https://digitalzibaldone.net/node/p1105_3,1017,1020,En.,WORK,Q720535,-0.6055450439453125
https://digitalzibaldone.net/node/p1139_1,758,765,Servius,PER,Q2613930,-0.9477593302726746
https://digitalzibaldone.net/node/p1139_1,766,773,ad Aen.,WORK,Q3237044,-1.304592251777649
https://digitalzibaldone.net/node/p1139_1,793,800,Fabric.,PER,Q18011357,-0.8010517954826355
https://digitalzibaldone.net/node/p1139_1,801,806,B. G.,WORK,Q672803,-0.8437843918800354
https://digitalzibaldone.net/node/p1139_1,823,833,il Lessico,WORK,Q8096,-0.25167423486709595
https://digitalzibaldone.net/node/p1139_1,839,847,Hofmanno,PER,Q68800,-0.7049949765205383
https://digitalzibaldone.net/node/p1139_1,1249,1276,Annali di Scienze e lettere,WORK,Q3098897,-0.5452636480331421
https://digitalzibaldone.net/node/p1148_1,28,38,Forcellini,PER,Q48832071,-1.9093844890594482
https://digitalzibaldone.net/node/p1217_1,57,68,Vocabolario,WORK,Q4015907,-0.313254177570343
https://digitalzibaldone.net/node/p1230_1,23,33,Forcellini,PER,Q48832071,-1.9307479858398438
https://digitalzibaldone.net/node/p1230_1,162,168,Crusca,WORK,Q188672,-0.1999117136001587
https://digitalzibaldone.net/node/p1230_1,203,211,Soderini,PER,Q2420669,-0.11211074143648148
https://digitalzibaldone.net/node/p1230_1,435,451,Storie Pistolesi,WORK,Q3905807,-1.254340410232544
https://digitalzibaldone.net/node/p1230_1,458,464,Crusca,WORK,Q188672,-0.30415967106819153
https://digitalzibaldone.net/node/p1230_1,484,516,Storia della Guerra di Semifonte,WORK,Q3955018,-0.9098173975944519
https://digitalzibaldone.net/node/p1230_1,528,547,M. Pace da Certaldo,PER,Q4320785,-1.899664044380188
https://digitalzibaldone.net/node/p1230_1,771,789,Lettera a V. Monti,WORK,Q723643,-0.7288622260093689
https://digitalzibaldone.net/node/p1230_1,793,810,Vincenzo Lancetti,PER,Q43899870,-0.9393047094345093
https://digitalzibaldone.net/node/p1230_1,870,876,Crusca,WORK,Q338489,-0.2984970808029175
https://digitalzibaldone.net/node/p1230_1,983,989,Crusca,WORK,Q338489,-0.2617935240268707
https://digitalzibaldone.net/node/p1230_1,1094,1100,Crusca,WORK,Q338489,-0.2643345594406128
https://digitalzibaldone.net/node/p1230_1,1147,1158,Il Du Cange,WORK,Q442240,-0.10122978687286377
https://digitalzibaldone.net/node/p1290_1,731,737,Morery,PER,Q289139,-1.5145763158798218
https://digitalzibaldone.net/node/p1290_1,739,768,Grand dictionnaire historique,WORK,Q1385501,-0.4615248143672943
https://digitalzibaldone.net/node/p1290_1,807,815,Prideaux,PER,Q3402865,-0.5654492974281311
