doc_id,surface,start_pos,end_pos,type
https://digitalzibaldone.net/node/p1012_2,Andrès,243,249,PER
https://digitalzibaldone.net/node/p1012_2,l. c.,251,256,WORK
https://digitalzibaldone.net/node/p1012_2,Roma,276,280,LOC
https://digitalzibaldone.net/node/p1012_2,Milano,416,422,LOC
https://digitalzibaldone.net/node/p1012_2,Cicerone,529,537,PER
https://digitalzibaldone.net/node/p1012_2,Andrès,540,546,PER
https://digitalzibaldone.net/node/p1012_2,l. c.,548,553,WORK
https://digitalzibaldone.net/node/p1023_2,impero greco,52,64,LOC
https://digitalzibaldone.net/node/p1023_2,italia,189,195,LOC
https://digitalzibaldone.net/node/p1023_2,Cic.,251,255,PER
https://digitalzibaldone.net/node/p1023_2,Virgilio,262,270,PER
https://digitalzibaldone.net/node/p1023_2,Augusto,289,296,PER
https://digitalzibaldone.net/node/p1023_2,Andrès,425,431,PER
https://digitalzibaldone.net/node/p1034_2,Italia,62,68,LOC
https://digitalzibaldone.net/node/p1037_1,Demostene,64,73,PER
https://digitalzibaldone.net/node/p1040_1,Grecia,280,286,LOC
https://digitalzibaldone.net/node/p1040_1,italia,421,427,LOC
https://digitalzibaldone.net/node/p1040_1,Gallie,436,442,LOC
https://digitalzibaldone.net/node/p1040_1,Gallie,642,648,LOC
https://digitalzibaldone.net/node/p1040_1,italia,681,687,LOC
https://digitalzibaldone.net/node/p1040_1,Sicilia,721,728,LOC
https://digitalzibaldone.net/node/p1040_1,Gallie,740,746,LOC
https://digitalzibaldone.net/node/p1040_1,italia,1300,1306,LOC
https://digitalzibaldone.net/node/p1040_1,Francia,1312,1319,LOC
https://digitalzibaldone.net/node/p1040_1,italia,1610,1616,LOC
https://digitalzibaldone.net/node/p1040_1,Francia,1622,1629,LOC
https://digitalzibaldone.net/node/p1042_2,italia,208,214,LOC
https://digitalzibaldone.net/node/p1042_2,Gallie,333,339,LOC
https://digitalzibaldone.net/node/p1042_2,Roma,432,436,LOC
https://digitalzibaldone.net/node/p1042_2,italia,442,448,LOC
https://digitalzibaldone.net/node/p1042_2,Roma,622,626,LOC
https://digitalzibaldone.net/node/p1042_2,italia,632,638,LOC
https://digitalzibaldone.net/node/p1042_2,Gallie,965,971,LOC
https://digitalzibaldone.net/node/p1042_2,italia,1112,1118,LOC
https://digitalzibaldone.net/node/p1042_2,Francia,1171,1178,LOC
https://digitalzibaldone.net/node/p1045_2,Francia,3,10,LOC
https://digitalzibaldone.net/node/p1045_2,inghilterra,595,606,LOC
https://digitalzibaldone.net/node/p1045_2,europa,741,747,LOC
https://digitalzibaldone.net/node/p1045_2,Andrès,804,810,PER
https://digitalzibaldone.net/node/p1045_2,europa,888,894,LOC
https://digitalzibaldone.net/node/p1045_2,Shakespeare,997,1008,PER
https://digitalzibaldone.net/node/p1045_2,Francia,1074,1081,LOC
https://digitalzibaldone.net/node/p1048_2,Castelvetro,902,913,PER
https://digitalzibaldone.net/node/p1049_1,Orazio,300,306,PER
https://digitalzibaldone.net/node/p1052_3,Cic.,59,63,PER
https://digitalzibaldone.net/node/p1052_3,de Senectute,74,86,WORK
https://digitalzibaldone.net/node/p1054_2,Sulzer,146,152,PER
