doc_id,start_pos,end_pos,surface,type,identifier
document_110001.html,53,64,Arcivescovo,PER,Q34634425
document_110011.html,626,632,Italia,LOC,Q38
document_110012.html,27,31,Arco,LOC,Q138473
document_110012.html,100,116,Raimondo Santoro,PER,NIL
document_110012.html,139,151,Associazione,ORG,Q3091708
document_110012.html,177,181,Bari,LOC,Q3519
document_110013.html,174,185,Federazione,ORG,Q3091708
document_110013.html,272,276,Fuci,ORG,Q3091708
document_110013.html,306,309,Guf,ORG,Q3118248
document_110013.html,458,465,Partito,ORG,Q139596
document_110013.html,516,520,Fuci,ORG,Q3091708
document_110013.html,529,545,Azione Cattolica,ORG,Q3318304
document_110013.html,954,968,Organizzazione,ORG,Q3091708
document_110014.html,164,168,Fuci,ORG,Q3091708
document_110014.html,173,184,Mezzogiorno,LOC,Q207989
document_110014.html,187,193,Italia,LOC,Q38
document_110014.html,359,362,Sud,LOC,Q207989
document_110014.html,463,467,Fuci,ORG,Q3091708
document_110014.html,619,631,Associazioni,ORG,Q3091708
document_110015.html,61,65,Fuci,ORG,Q3091708
document_110015.html,191,222,Universitari Cattolici Italiani,ORG,Q3091708
document_110015.html,519,525,Italia,LOC,Q38
document_110016.html,27,73,Associazioni Universitarie di Azione Cattolica,ORG,Q3091708
document_110016.html,88,92,Roma,LOC,Q220
document_110016.html,132,139,Vicario,PER,Q2604
document_110016.html,143,149,Cristo,PER,Q302
document_110016.html,488,492,Roma,LOC,Q220
document_110016.html,528,535,Pio XII,PER,Q2604
document_110016.html,700,706,Chiesa,ORG,Q34651
document_110017.html,665,669,Fuci,ORG,Q3091708
document_110018.html,120,124,Roma,LOC,Q220
document_110018.html,149,153,Fuci,ORG,Q3091708
document_110018.html,1383,1389,Chiesa,ORG,Q34651
document_110019.html,236,242,Chiesa,ORG,Q34651
document_110019.html,246,256,Università,ORG,Q3918
document_110019.html,284,288,Fuci,ORG,Q3091708
document_110019.html,632,642,Università,ORG,Q3918
document_110019.html,651,661,Università,ORG,Q3918
document_110019.html,728,732,Fuci,ORG,Q3091708
document_110019.html,748,754,Chiesa,ORG,Q34651
document_110019.html,770,780,Università,ORG,Q3918
document_110019.html,990,994,Fuci,ORG,Q3091708
document_110019.html,1115,1127,Associazione,ORG,Q3091708
document_110019.html,1639,1643,Fuci,ORG,Q3091708
document_110019.html,1730,1736,Chiesa,ORG,Q34651
document_110019.html,1738,1748,Università,ORG,Q3918
document_110019.html,1851,1867,Azione Cattolica,ORG,Q3318304
document_110021.html,63,92,Universitari Italiani di A.C.,ORG,Q3091708
document_110021.html,129,139,Università,ORG,Q3918
document_110023.html,48,60,Associazioni,ORG,Q3091708
document_110023.html,92,96,Fuci,ORG,Q3091708
document_110023.html,662,674,Associazione,ORG,Q3091708
document_110025.html,45,60,Paolo Bonatelli,PER,NIL
document_110025.html,364,371,Masnovo,PER,Q54925054
document_110025.html,426,435,Bonatelli,PER,NIL
document_110027.html,65,69,Fuci,ORG,Q3091708
document_110027.html,197,209,Associazioni,ORG,Q3091708
document_110033.html,17,37,Università Cattolica,ORG,Q229022
document_110033.html,106,112,Italia,LOC,Q38
document_110033.html,290,306,Azione Cattolica,ORG,Q3318304
document_110033.html,497,513,Azione Cattolica,ORG,Q3318304
document_110033.html,672,682,Università,ORG,Q3918
document_110035.html,43,49,Italia,LOC,Q38
document_110035.html,239,244,paese,LOC,Q38
document_110036.html,15,23,Caterina,PER,Q229190
document_110036.html,27,32,Siena,LOC,Q2751
document_110036.html,223,228,Santa,PER,Q229190
document_110036.html,529,535,Italia,LOC,Q38
document_110036.html,567,572,Santa,PER,Q229190
document_110043.html,60,64,Roma,LOC,Q220
document_110043.html,145,157,Associazioni,ORG,Q3091708
document_110048.html,63,93,Universitari Italiani di A. C.,ORG,Q3091708
document_110048.html,130,140,Università,ORG,Q3918
document_110050.html,31,37,Cristo,PER,Q302
document_110051.html,22,34,Associazioni,ORG,Q3091708
document_110054.html,74,86,Associazioni,ORG,Q3091708
document_110054.html,145,156,S. Vincenzo,ORG,Q1528836
document_110054.html,433,444,S. Vincenzo,ORG,Q1528836
document_110054.html,586,597,S. Vincenzo,ORG,Q1528836
document_110054.html,1077,1081,Fuci,ORG,Q3091708
document_110054.html,1184,1195,S. Vincenzo,ORG,Q1528836
document_110058.html,46,50,Fuci,ORG,Q3091708
document_110061.html,84,88,Fuci,ORG,Q3091708
document_110061.html,165,175,Università,ORG,Q3918
document_110061.html,351,355,Fuci,ORG,Q3091708
document_110061.html,389,401,Associazioni,ORG,Q3091708
document_110061.html,962,974,Associazioni,ORG,Q3091708
document_110061.html,1164,1168,Fuci,ORG,Q3091708
document_110064.html,31,36,Padre,PER,Q2604
