doc_id,surface,start_pos,end_pos,type,identifier,source,valid,split,,
document_132139.html,partiti,1004,1011,ORG,Q7278,AMD,yes,train,,
document_132139.html,Governo,273,280,ORG,Q3773971,NER,yes,train,,
document_132141.html,Capo,157,161,PER,Q332711,AMD,yes,train,,
document_132143.html,partiti,1249,1256,ORG,Q7278,AMD,yes,train,,
document_132143.html,Governo,588,595,ORG,Q3773971,NER,yes,train,,
document_132144.html,Repubblica,125,135,LOC,Q1014,AMD,no,train,,
document_132144.html,Governo,298,305,ORG,Q3773971,NER,yes,train,,
document_132144.html,Senato,517,523,ORG,Q633872,NER,yes,train,,
document_132144.html,Governo,867,874,ORG,Q3773971,NER,yes,train,,
document_132145.html,Paese,247,252,LOC,Q38,AMD,yes,train,,
document_132145.html,Partito,565,572,ORG,Q815348,AMD,yes,train,,
document_132145.html,Partito,669,676,ORG,Q815348,AMD,yes,train,,
document_132145.html,Segretario,279,289,PER,Q434786,AMD,yes,train,,
document_132145.html,Segretario,780,790,PER,Q434786,AMD,yes,train,,
document_132145.html,Consiglio Nazionale,467,486,ORG,NIL,NER,yes,train,,
document_132145.html,Consiglio Nazionale,820,839,ORG,NIL,NER,yes,train,,
document_132145.html,Governo,1310,1317,ORG,Q3773971,NER,yes,train,,
document_132146.html,Nord,220,224,LOC,Q4345530,AMD,no,train,,
document_132147.html,Aldo Moro,33,42,PER,Q171834,AMD,yes,train,,
document_132147.html,Presidente,3,13,PER,Q4003497,AMD,no,train,,
document_132147.html,Consiglio,18,27,ORG,,NER,no,train,,
document_132148.html,Oriente,263,270,LOC,NIL,AMD,yes,train,,
document_132148.html,città,1172,1177,LOC,Q220,AMD,yes,train,,
document_132148.html,Monti Albani,238,250,LOC,Q1129380,NER,yes,train,,
document_132151.html,Mezzogiorno,160,171,LOC,Q207989,AMD,yes,train,,
document_132151.html,Paese,404,409,LOC,Q38,AMD,yes,train,,
document_132151.html,comunità,775,783,ORG,Q52847,AMD,no,train,,
document_132151.html,amministrazione dello Stato,641,668,ORG,,NER,no,train,,
document_132154.html,Ministro,416,424,PER,NIL,AMD,no,train,,
document_132154.html,FIAT,63,67,ORG,Q27597,NER,yes,train,,
document_132154.html,Governo italiano,449,465,ORG,Q3773971,NER,yes,train,,
document_132154.html,Fiat,593,597,ORG,Q27597,NER,yes,train,,
document_132162.html,Moro,6,10,PER,Q171834,AMD,yes,train,,
document_132162.html,Presidente,247,257,PER,Q3893797,AMD,no,train,,
document_132165.html,Mezzogiorno,1147,1158,LOC,Q207989,AMD,yes,train,,
document_132165.html,Paese,523,528,LOC,Q38,AMD,yes,train,,
document_132165.html,città,207,212,LOC,Q3519,AMD,no,train,,
document_132165.html,regione,358,365,LOC,Q1447,AMD,no,train,,
document_132165.html,Governo,406,413,ORG,Q3773971,NER,yes,train,,
