doc_id,surface,start_pos,end_pos,type,identifier,source,valid
document_110001.html,Dio,729,732,PER,,NER,no
document_110009.html,Napoli,118,124,LOC,Q2634,AMD,no
document_110009.html,Jovene,110,116,PER,,NER,no
document_110010.html,Roma,64,68,LOC,Q220,AMD,no
document_110011.html,Dottrina del Fascismo,16,37,ORG,,NER,no
document_110012.html,Mosca,165,170,LOC,Q649,AMD,no
document_110013.html,Fuci,229,233,ORG,Q3091708,AMD,no
document_110014.html,Fuci,49,53,ORG,Q3091708,AMD,no
document_110014.html,Fuci,330,334,ORG,Q3091708,AMD,no
document_110014.html,Fuci,715,719,ORG,Q3091708,AMD,no
document_110014.html,Universitari,442,454,ORG,Q3091708,AMD,no
document_110014.html,Consiglio Superiore,66,85,ORG,,NER,no
document_110015.html,Fuci,510,514,ORG,Q3091708,AMD,no
document_110015.html,Congresso Nazionale,18,37,ORG,,NER,no
document_110015.html,Congresso,705,714,ORG,,NER,no
document_110015.html,Congresso,984,993,ORG,,NER,no
document_110016.html,Assemblea,384,393,ORG,Q1053185,AMD,no
document_110016.html,Ponti,572,577,PER,Q3733989,AMD,no
document_110016.html,Congresso,305,314,ORG,,NER,no
document_110016.html,Congresso,476,485,ORG,,NER,no
document_110016.html,S.S.,523,527,ORG,,NER,no
document_110016.html,assemblea nazionale,646,665,ORG,,NER,no
document_110017.html,Fuci,21,25,ORG,Q3091708,AMD,no
document_110017.html,Congresso,893,902,ORG,,NER,no
document_110017.html,Congresso,1067,1076,ORG,,NER,no
document_110018.html,Congresso,107,116,ORG,,NER,no
document_110018.html,Congresso Nazionale,185,204,ORG,,NER,no
document_110018.html,Congresso,333,342,ORG,,NER,no
document_110018.html,Congresso,536,545,ORG,,NER,no
document_110019.html,organizzazione,1764,1778,ORG,Q3682549,AMD,no
document_110019.html,Consiglio Superiore,17,36,ORG,,NER,no
document_110021.html,Fuci,25,29,ORG,Q3091708,AMD,no
document_110024.html,Fuci,671,675,ORG,Q3091708,AMD,no
document_110025.html,Fuci,101,105,ORG,Q3091708,AMD,no
document_110025.html,Fuci,416,420,ORG,Q3091708,AMD,no
document_110025.html,Segni,28,33,PER,Q1240,AMD,no
document_110027.html,Presidenza Centrale,90,109,ORG,,NER,no
document_110033.html,Universitari,274,286,ORG,Q3091708,AMD,no
document_110039.html,Beati[1,140,147,PER,,NER,no
document_110040.html,organizzazione,653,667,ORG,Q3682549,AMD,no
document_110043.html,Congresso Nazionale,112,131,ORG,,NER,no
