doc_id,surface,start_pos,end_pos,type,identifier,source,valid,split
document_142204.html,Consiglio dei ministri,351,373,ORG,Q8886,NER,yes,train
document_142204.html,Consiglio,674,683,ORG,Q3687318,NER,no,train
document_142211.html,Democrazia Cristiana,689,709,ORG,Q815348,AMD,no,train
document_142211.html,Paese,515,520,LOC,Q38,AMD,yes,train
document_142211.html,partito,18,25,ORG,Q815348,AMD,no,train
document_142211.html,partito,280,287,ORG,Q815348,AMD,no,train
document_142211.html,partito,418,425,ORG,Q815348,AMD,no,train
document_142218.html,Democrazia Cristiana,793,813,ORG,Q815348,AMD,yes,train
document_142218.html,paese,705,710,LOC,Q38,AMD,yes,train
document_142219.html,Il Popolo,302,311,ORG,Q3792875,NER,yes,train
document_142221.html,Camere,10,16,ORG,Q10553309,NER,yes,train
document_142222.html,partito,206,213,ORG,Q815348,AMD,yes,train
document_142225.html,paese,196,201,LOC,Q38,AMD,yes,train
document_142227.html,Paese,930,935,LOC,Q38,AMD,yes,train
document_142227.html,città,491,496,LOC,Q3519,AMD,no,train
document_142227.html,partito,528,535,ORG,Q815348,AMD,no,train
document_142227.html,amministrazione,437,452,ORG,,NER,no,train
document_142228.html,Paese,572,577,LOC,Q38,AMD,yes,train
document_142232.html,città,108,113,LOC,Q3519,AMD,no,train
document_142233.html,partiti,824,831,ORG,Q7278,AMD,yes,train
document_142233.html,Consiglio Nazionale,210,229,ORG,,NER,no,train
document_142242.html,Comitato politico,63,80,ORG,,NER,no,train
document_142245.html,Moro,0,4,PER,Q171834,AMD,yes,train
document_142245.html,Paese,205,210,LOC,Q38,AMD,yes,train
document_142245.html,presidente,473,483,PER,Q50005,AMD,yes,train
document_142247.html,Partito,591,598,ORG,Q815348,AMD,yes,train
document_142249.html,Democrazia Cristiana,173,193,ORG,Q815348,AMD,yes,train
document_142249.html,partiti,77,84,ORG,Q7278,AMD,yes,train
document_110003.html,S. Nicola,260,269,LOC,Q550514,NER,yes,dev
document_110041.html,Fuci,1055,1059,ORG,Q3091708,AMD,no,dev
document_110041.html,Dio,1596,1599,PER,Q825,NER,yes,dev
document_110072.html,Presidente,3,13,PER,Q1255921,AMD,no,dev
document_110072.html,Presidenza Centrale,398,417,ORG,,NER,no,dev
document_110087.html,Repubblica sociale italiana,186,213,ORG,Q153660,AMD,yes,dev
document_110090.html,Italia,598,604,LOC,Q38,AMD,no,dev
document_110095.html,Italia,151,157,LOC,Q38,AMD,no,dev
document_110095.html,Camera dei Comuni,48,65,ORG,Q11005,NER,yes,dev
document_110095.html,Governo,603,610,ORG,Q3773971,NER,yes,dev
document_110106.html,Arcivescovo,50,61,PER,Q34634425,AMD,no,dev
document_110106.html,Commissione,92,103,ORG,Q3684787,AMD,no,dev
document_110106.html,Presidente,75,85,PER,Q4003497,AMD,no,dev
document_110106.html,Universitari,305,317,ORG,Q3091708,AMD,no,dev
document_110106.html,Centro Nazionale,232,248,ORG,,NER,no,dev
document_110106.html,Presidenza Centrale,435,454,ORG,,NER,no,dev
document_110137.html,Italia,81,87,LOC,Q38,AMD,no,dev
document_110186.html,collega,602,609,PER,Q76297,AMD,no,dev
document_110186.html,Fontamara[3,925,936,PER,,NER,no,dev
document_110186.html,Luigi Murica,1191,1203,PER,NIL,NER,yes,dev
document_110223.html,collega,570,577,PER,Q76297,AMD,no,dev
document_110223.html,Congresso Nazionale,3,22,ORG,,NER,no,dev
document_121001.html,paese,178,183,LOC,Q38,AMD,yes,dev
document_121034.html,Moro,13,17,PER,Q171834,AMD,yes,dev
document_121053.html,Moro,13,17,PER,Q171834,AMD,yes,dev
document_121061.html,Moro,13,17,PER,Q171834,AMD,yes,dev
document_121061.html,partiti,370,377,ORG,Q7278,AMD,yes,dev
document_121063.html,Moro,13,17,PER,Q171834,AMD,yes,dev
document_121069.html,Moro,13,17,PER,Q171834,AMD,yes,dev
document_121069.html,comunità,518,526,ORG,Q1065,AMD,yes,dev
document_121069.html,Stato,809,814,ORG,Q38,NER,yes,dev
document_121081.html,Stato,34,39,ORG,Q38,NER,yes,dev
document_121092.html,Moro,13,17,PER,Q171834,AMD,yes,dev
document_121136.html,paese,523,528,LOC,Q38,AMD,no,dev
document_121136.html,partiti,76,83,ORG,Q7278,AMD,yes,dev
document_121136.html,partiti,312,319,ORG,Q7278,AMD,yes,dev
document_121136.html,partiti,440,447,ORG,Q7278,AMD,yes,dev
document_121175.html,Paese,371,376,LOC,Q38,AMD,yes,dev
document_121184.html,commissione,64,75,ORG,Q3684787,AMD,yes,dev
document_121211.html,Aldo Moro,13,22,PER,Q171834,AMD,yes,dev
document_121211.html,comunità,1383,1391,ORG,Q52847,AMD,yes,dev
