doc_id,start_pos,end_pos,surface,type,identifier,wiki_title,answer,score
https://digitalzibaldone.net/node/p1012_2,276,280,Roma,LOC,Q220,Roma,"```json {""wikipedia_page"":""Roma"", ""wikidata_id"":""Q220""} ```",0.9417172574784133
https://digitalzibaldone.net/node/p1023_2,52,64,impero greco,LOC,NIL,impero greco,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
https://digitalzibaldone.net/node/p1023_2,189,195,italia,LOC,Q3804214,Italia rinascimentale,"```json {""wikipedia_page"":""Italia rinascimentale"", ""wikidata_id"":""Q3804214""} ```",5.5580218964152846e-05
https://digitalzibaldone.net/node/p1037_1,40,50,᾽Eπιτάϕιος,WORK,NIL,᾽Eπιτάϕιος,"```json { ""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL"" } ```",0
https://digitalzibaldone.net/node/p1040_1,421,427,italia,LOC,Q184313,Magna Grecia,"```json {""wikipedia_page"":""Magna Grecia"", ""wikidata_id"":""Q184313""} ```",0.0037542897944370717
https://digitalzibaldone.net/node/p1042_2,208,214,italia,LOC,Q913582,Italia romana,"```json {""wikipedia_page"":""Italia romana"", ""wikidata_id"":""Q913582""} ```",0.004548980897171542
https://digitalzibaldone.net/node/p1042_2,432,436,Roma,LOC,Q220,Roma,"```json { ""wikipedia_page"": ""Roma"", ""wikidata_id"": ""Q220"" } ```",0.9239604662581462
https://digitalzibaldone.net/node/p1042_2,622,626,Roma,LOC,Q18287233,Roma (città antica),"```json { ""wikipedia_page"": ""Roma (città antica)"", ""wikidata_id"": ""Q18287233"" } ```",0.5506418154581966
https://digitalzibaldone.net/node/p1042_2,1112,1118,italia,LOC,Q184313,Magna Grecia,"```json { ""wikipedia_page"": ""Magna Grecia"", ""wikidata_id"": ""Q184313"" } ```",0.0019628224470891876
https://digitalzibaldone.net/node/p1045_2,804,810,Andrès,PER,NIL,Andrès,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
https://digitalzibaldone.net/node/p1054_2,330,340,Forcellini,WORK,NIL,Forcellini,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
https://digitalzibaldone.net/node/p1055_2,128,133,Soave,PER,NIL,Soave,"```json { ""wikipedia_page"": ""NIL"", ""wikidata_id"": ""NIL"" } ```",0
https://digitalzibaldone.net/node/p1056_3,453,461,Terenzio,PER,NIL,Terenzio,"```json {""wikipedia_page"":""NIL"", ""wikidata_id"":""NIL""} ```",0
