doc_id,surface_form,start_pos,end_pos,type
https://digitalzibaldone.net/node/p1034_2,lingua volgare d'Italia,45,68,WORK
https://digitalzibaldone.net/node/p1104_1,Dante,637,642,PER
https://digitalzibaldone.net/node/p1313_1,Daniello Bartoli,135,151,PER
https://digitalzibaldone.net/node/p1313_1,lingua italiana,806,821,PER
https://digitalzibaldone.net/node/p1366_1,Dante,14,19,PER
https://digitalzibaldone.net/node/p1659_1,Dante,1041,1046,PER
https://digitalzibaldone.net/node/p1858_1,Il sistema detto di Copernico,0,29,WORK
https://digitalzibaldone.net/node/p1987_1,Omero,282,287,PER
https://digitalzibaldone.net/node/p2932_1,Pisatio,1933,1940,WORK
https://digitalzibaldone.net/node/p3006_1,Suso,7,11,PER
https://digitalzibaldone.net/node/p3006_1,giuso,13,18,PER
https://digitalzibaldone.net/node/p3006_1,V. Forcellini,66,79,PER
https://digitalzibaldone.net/node/p3006_1,Gloss. se ha nulla,98,116,WORK
https://digitalzibaldone.net/node/p3060_2,Porgo per porrigo is,0,20,WORK
https://digitalzibaldone.net/node/p3072_3,Lucio Silla,149,160,PER
https://digitalzibaldone.net/node/p3072_3,Augusto,297,304,PER
https://digitalzibaldone.net/node/p3072_3,Cosimo primo,451,463,PER
https://digitalzibaldone.net/node/p3103_1,Omero,50,55,PER
https://digitalzibaldone.net/node/p3103_1,nazione,239,246,PER
https://digitalzibaldone.net/node/p3103_1,Barbari,354,361,WORK
https://digitalzibaldone.net/node/p3103_1,Lusiade,630,637,WORK
https://digitalzibaldone.net/node/p3103_1,Eneide,659,665,WORK
https://digitalzibaldone.net/node/p3103_1,Dario,1600,1605,PER
https://digitalzibaldone.net/node/p3103_1,Longino,1707,1714,PER
https://digitalzibaldone.net/node/p3143_1,Omero,108,113,PER
https://digitalzibaldone.net/node/p3169_1,Alla p. 2776,0,12,WORK
https://digitalzibaldone.net/node/p3365_1,Voltaire,451,459,PER
https://digitalzibaldone.net/node/p3541_2,caput,59,64,PER
https://digitalzibaldone.net/node/p3541_2,testa,177,182,PER
https://digitalzibaldone.net/node/p3579_1,Spagna,82,88,LOC
https://digitalzibaldone.net/node/p3579_1,Averroe,2233,2240,PER
https://digitalzibaldone.net/node/p3687_1,Dante,405,410,PER
