doc_id,start_pos,end_pos,surface,type,identifier,wiki_title,score
https://digitalzibaldone.net/node/p1012_2,243,249,Andrès,PER,Q2758559,Juan Andrés,0.13112381859008643
https://digitalzibaldone.net/node/p1012_2,416,422,Milano,LOC,Q490,Milano,0.7525830208320142
https://digitalzibaldone.net/node/p1012_2,529,537,Cicerone,PER,Q1541,Marco Tullio Cicerone,0.37287642314478675
https://digitalzibaldone.net/node/p1012_2,540,546,Andrès,PER,Q2758559,Juan Andrés,0.15507452226102328
https://digitalzibaldone.net/node/p1023_2,189,195,italia,LOC,Q38,Italia,0.6780727071076711
https://digitalzibaldone.net/node/p1023_2,262,270,Virgilio,PER,Q1398,Publio Virgilio Marone,0.43600023768379353
https://digitalzibaldone.net/node/p1023_2,289,296,Augusto,PER,Q1405,Augusto,0.6652464980333533
https://digitalzibaldone.net/node/p1034_2,62,68,Italia,LOC,Q38,Italia,0.6821847478751141
https://digitalzibaldone.net/node/p1037_1,64,73,Demostene,PER,Q117253,Demostene,0.7475755777195123
https://digitalzibaldone.net/node/p1040_1,421,427,italia,LOC,Q38,Italia,0.6744830493594992
https://digitalzibaldone.net/node/p1040_1,681,687,italia,LOC,Q38,Italia,0.6779300681750781
https://digitalzibaldone.net/node/p1040_1,721,728,Sicilia,LOC,Q1460,Sicilia,0.7433142552841359
https://digitalzibaldone.net/node/p1040_1,1300,1306,italia,LOC,Q38,Italia,0.6856019333290135
https://digitalzibaldone.net/node/p1040_1,1312,1319,Francia,LOC,Q142,Francia,0.7455579895310303
https://digitalzibaldone.net/node/p1040_1,1610,1616,italia,LOC,Q38,Italia,0.6922729287570938
https://digitalzibaldone.net/node/p1040_1,1622,1629,Francia,LOC,Q142,Francia,0.7455579895310303
https://digitalzibaldone.net/node/p1042_2,208,214,italia,LOC,Q38,Italia,0.679631615007494
https://digitalzibaldone.net/node/p1042_2,442,448,italia,LOC,Q38,Italia,0.6892031581825057
https://digitalzibaldone.net/node/p1042_2,632,638,italia,LOC,Q38,Italia,0.7010909788174527
https://digitalzibaldone.net/node/p1042_2,1112,1118,italia,LOC,Q38,Italia,0.6869421703737623
https://digitalzibaldone.net/node/p1042_2,1171,1178,Francia,LOC,Q142,Francia,0.7289710469382658
https://digitalzibaldone.net/node/p1045_2,3,10,Francia,LOC,Q142,Francia,0.7419517524056293
https://digitalzibaldone.net/node/p1045_2,595,606,inghilterra,LOC,Q21,Inghilterra,0.6336114426843702
https://digitalzibaldone.net/node/p1045_2,741,747,europa,LOC,Q46,Europa,0.7607202020217171
https://digitalzibaldone.net/node/p1045_2,804,810,Andrès,PER,Q2758559,Juan Andrés,0.13837891012525402
https://digitalzibaldone.net/node/p1045_2,888,894,europa,LOC,Q46,Europa,0.7523996898973415
https://digitalzibaldone.net/node/p1045_2,997,1008,Shakespeare,PER,Q692,William Shakespeare,0.3377021534723557
https://digitalzibaldone.net/node/p1045_2,1074,1081,Francia,LOC,Q142,Francia,0.7418375702072111
https://digitalzibaldone.net/node/p1048_2,902,913,Castelvetro,PER,Q936665,Lodovico Castelvetro,0.3761371911788711
https://digitalzibaldone.net/node/p1049_1,300,306,Orazio,PER,Q6197,Quinto Orazio Flacco,0.3564755803950929
https://digitalzibaldone.net/node/p1055_2,183,188,Locke,PER,Q9353,John Locke,0.3799873308310522
https://digitalzibaldone.net/node/p1055_2,190,197,Venezia,LOC,Q641,Venezia,0.5404763757954476
https://digitalzibaldone.net/node/p1056_3,425,433,Cicerone,PER,Q1541,Marco Tullio Cicerone,0.4170850643735339
https://digitalzibaldone.net/node/p1056_3,441,447,Plauto,PER,Q47160,Tito Maccio Plauto,0.3866761594298981
https://digitalzibaldone.net/node/p1065_3,577,583,Milano,LOC,Q490,Milano,0.7489767837066132
https://digitalzibaldone.net/node/p1104_1,502,513,Franciosini,PER,Q1767444,Lorenzo Franciosini,0.2544814814174128
https://digitalzibaldone.net/node/p1104_1,637,642,Dante,PER,Q1067,Dante Alighieri,0.392823490279063
https://digitalzibaldone.net/node/p1105_3,250,258,Virgilio,PER,Q1398,Publio Virgilio Marone,0.39263893155371565
https://digitalzibaldone.net/node/p1139_1,1278,1284,Milano,LOC,Q490,Milano,0.7098726707306011
https://digitalzibaldone.net/node/p1213_1,42,48,europa,LOC,Q46,Europa,0.7523996898973415
https://digitalzibaldone.net/node/p1213_1,352,358,europa,LOC,Q46,Europa,0.757174388477013
https://digitalzibaldone.net/node/p1213_1,1018,1024,europa,LOC,Q46,Europa,0.7919718454376522
https://digitalzibaldone.net/node/p1213_1,1515,1521,europa,LOC,Q46,Europa,0.7617886885513687
https://digitalzibaldone.net/node/p1213_1,1696,1702,europa,LOC,Q46,Europa,0.7919718454376522
https://digitalzibaldone.net/node/p1213_1,1716,1722,italia,LOC,Q38,Italia,0.6891179881157536
https://digitalzibaldone.net/node/p1213_1,1779,1785,italia,LOC,Q38,Italia,0.6891179881157536
https://digitalzibaldone.net/node/p1213_1,2090,2096,europa,LOC,Q46,Europa,0.7523996898973415
https://digitalzibaldone.net/node/p1213_1,2370,2376,europa,LOC,Q46,Europa,0.7792675051211913
https://digitalzibaldone.net/node/p1230_1,186,191,Dante,PER,Q1067,Dante Alighieri,0.39149368023395875
https://digitalzibaldone.net/node/p1230_1,203,211,Soderini,PER,Q1102344,Giovan Vettorio Soderini,0.2127137517699116
https://digitalzibaldone.net/node/p1230_1,549,556,Firenze,LOC,Q2044,Firenze,0.6846930274992532
https://digitalzibaldone.net/node/p1230_1,894,900,Milano,LOC,Q490,Milano,0.7439436396101704
https://digitalzibaldone.net/node/p1233_1,92,98,europa,LOC,Q46,Europa,0.7705134490288708
https://digitalzibaldone.net/node/p1256_2,106,111,Omero,PER,Q6691,Omero,0.8062578278548838
https://digitalzibaldone.net/node/p1256_2,164,173,Raffaello,PER,Q5597,Raffaello Sanzio,0.33732816819950256
https://digitalzibaldone.net/node/p1256_2,1083,1088,Omero,PER,Q6691,Omero,0.7935405020719677
https://digitalzibaldone.net/node/p1260_2,160,167,Alfieri,PER,Q296244,Vittorio Alfieri,0.37593375337088997
https://digitalzibaldone.net/node/p1270_2,815,827,Sir W. Jones,PER,Q273969,William Jones (filologo),0.12303129531255592
https://digitalzibaldone.net/node/p1290_1,795,801,Calmet,PER,Q767668,Agostino Calmet,0.23996638246966767
https://digitalzibaldone.net/node/p1290_1,1184,1190,Bibbia,WORK,Q1845,Bibbia,0.685354250342273
https://digitalzibaldone.net/node/p1292_1,108,113,Monti,PER,Q723643,Vincenzo Monti,0.4035318786919759
https://digitalzibaldone.net/node/p1302_1,910,917,Gravina,PER,Q727363,Gian Vincenzo Gravina,0.24353382423405553
https://digitalzibaldone.net/node/p1313_1,135,151,Daniello Bartoli,PER,Q2283604,Daniello Bartoli,0.664574505670274
https://digitalzibaldone.net/node/p1313_1,232,237,Monti,PER,Q723643,Vincenzo Monti,0.4042679380746887
https://digitalzibaldone.net/node/p1313_1,605,612,Bartoli,PER,Q2283604,Daniello Bartoli,0.285049262102106
https://digitalzibaldone.net/node/p1313_1,1070,1075,Dante,PER,Q1067,Dante Alighieri,0.3967160533725537
https://digitalzibaldone.net/node/p1327_1,101,110,Marmontel,PER,Q379923,Jean-François Marmontel,0.19853368874631364
https://digitalzibaldone.net/node/p1329_1,48,54,italia,LOC,Q38,Italia,0.6610534122015322
